id,title,type,category,masplus
onesin,お願い！シンデレラ,all,normal,false
todoke,とどけ！アイドル,all,normal,false
star,Star!!,all,normal,false
werethefriends,We're the friends!,all,normal,false
yubae,夕映えプレゼント,all,normal,false
goin,GOIN'!!!,all,normal,false
message,メッセージ,all,normal,false
evorevo,できたてEvo! Revo! Generation!,all,normal,false
kagayaku,輝く世界の魔法,all,normal,false
shine,Shine!!,all,normal,false
yumeiro,夢色ハーモニー,all,normal,true
magic,M@GIC☆,all,normal,false
nagareboshi,流れ星キセキ,all,limited,true
otome,ススメ☆オトメ ～jewel parade～,all,limited,false
snow,Snow Wings,all,oldevent,false
gokigen,ゴキゲンParty Night,all,event,true
smiling,S(mile)ING!,cute,normal,false
onedari,おねだり Shall We ～?,cute,normal,false
kazeiro,風色メロディ,cute,normal,false
happy2,Happy×2 Days,cute,normal,false
anzuno,あんずのうた,cute,normal,false
over,ØωØver!!,cute,normal,false
chocolat,ショコラ・ティアラ,cute,normal,false
naked,Naked Romance,cute,normal,false
otome-cute,ススメ☆オトメ ～jewel parade～ cute version,cute,limited,false
ponkotsu,アタシポンコツアンドロイド,cute,limited,false
pastel,パステルピンクな恋,cute,oldevent,false
neversay,Never say never,cool,normal,false
twilight,Twilight Sky,cool,normal,false
tsubomi,華蕾夢ミル狂詩曲～魂ノ導～,cool,normal,false
memories,Memories,cool,normal,false
legne,-LEGNE- 仇なす剣 光の旋律,cool,normal,false
venus,ヴィーナスシンドローム,cool,normal,false
yourestars,You're stars shine on me,cool,normal,false
angel,Angel Breeze,cool,normal,false
trancing,Trancing Pulse,cool,normal,false
otome-cool,ススメ☆オトメ ～jewel parade～ cool version,cool,limited,false
nation,Nation Blue,cool,limited,false
mitsuboshi,ミツボシ☆☆★,passion,normal,false
dokidoki,DOKIDOKIリズム,passion,normal,false
marshmallow,ましゅまろ☆キッス,passion,normal,false
letsgo,LET’S GO HAPPY,passion,normal,false
romantic,Romantic Now,passion,normal,false
tokimeki,TOKIMEKIエスカレート,passion,normal,false
orange,Orange Sapphire,passion,limited,false
otome-passion,ススメ☆オトメ ～jewel parade～ passion version,passion,limited,false
